                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1282,                 2.8033,                0.94513,                0.24509,                0.47337,                0.31659,                0.17329,                 1.6358,                    inf,                0.99214,               0.066873,             3.3161e-05,             3.3161e-05
                      2,                0.77461,                 1.5994,                0.85691,                0.72672,                0.75927,                0.80032,                 0.4305,                  1.574,                 1.1747,                0.97105,               0.033571,             6.5297e-05,             6.5297e-05
                      3,                0.65914,                0.94143,                0.83811,                0.92424,                0.88496,                0.95092,                0.72361,                0.88766,                0.66292,                0.83214,             0.00026895,             9.6234e-05,             9.6234e-05
                      4,                0.61783,                0.75196,                0.83131,                0.95042,                0.90732,                0.96233,                0.69864,                 1.0042,                0.61349,                0.84618,               9.46e-05,               9.46e-05,               9.46e-05
                      5,                0.56641,                0.67303,                0.82458,                0.95733,                0.91689,                0.96723,                 0.6948,                 1.0496,                0.58495,                0.85254,               9.46e-05,               9.46e-05,               9.46e-05
                      6,                0.55482,                0.61663,                0.82216,                0.95669,                0.91511,                0.96841,                0.62689,                 1.3213,                0.61506,                0.90145,               9.28e-05,               9.28e-05,               9.28e-05
                      7,                0.53084,                0.58176,                0.81842,                0.96698,                0.92373,                 0.9734,                  0.666,                 1.1856,                 0.5638,                0.87059,                9.1e-05,                9.1e-05,                9.1e-05
                      8,                0.51611,                0.55412,                0.81596,                0.96584,                0.92482,                0.97374,                0.61333,                 1.4023,                0.59242,                0.91336,               8.92e-05,               8.92e-05,               8.92e-05
                      9,                0.51052,                0.53274,                0.81476,                0.96616,                0.92471,                0.97391,                0.56281,                 1.6047,                0.63108,                0.95516,               8.74e-05,               8.74e-05,               8.74e-05
                     10,                 0.5064,                0.51755,                0.81354,                0.97227,                0.93266,                0.97777,                0.69135,                 1.1218,                0.50689,                0.85629,               8.56e-05,               8.56e-05,               8.56e-05
                     11,                0.50077,                 0.5037,                0.81194,                0.97191,                0.93192,                0.97963,                0.71225,                 1.0599,                0.47917,                0.84505,               8.38e-05,               8.38e-05,               8.38e-05
                     12,                0.48754,                0.49088,                0.81075,                0.97426,                0.93842,                 0.9805,                0.67996,                 1.1969,                0.50133,                0.86417,                8.2e-05,                8.2e-05,                8.2e-05
                     13,                 0.4881,                0.47956,                0.81023,                0.97423,                0.93821,                0.98106,                0.73054,                 1.0225,                0.46299,                0.83371,               8.02e-05,               8.02e-05,               8.02e-05
                     14,                0.48733,                0.47132,                0.80962,                0.97374,                0.93955,                  0.982,                0.73642,                 1.0001,                0.45876,                0.83325,               7.84e-05,               7.84e-05,               7.84e-05
                     15,                0.47754,                0.46082,                0.80842,                0.97584,                0.93864,                0.98224,                0.72154,                 1.0517,                0.45927,                0.84148,               7.66e-05,               7.66e-05,               7.66e-05
                     16,                0.46269,                0.45155,                0.80738,                0.97582,                 0.9385,                0.98231,                0.76446,                0.89596,                0.41918,                 0.8167,               7.48e-05,               7.48e-05,               7.48e-05
