                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88468,                 2.2998,                0.89179,                0.60959,                0.70195,                0.68268,                0.53651,                0.83301,                 1.3265,                0.83635,                0.06678,             3.3253e-05,             3.3253e-05
                      2,                0.62365,                0.96301,                0.83238,                0.87702,                0.83952,                0.91347,                0.39084,                 2.1153,                 1.0345,                 1.1264,               0.033474,             6.0594e-05,             6.0594e-05
                      3,                0.52274,                0.64866,                 0.8167,                0.95691,                0.91206,                 0.9678,                0.78274,                0.76254,                 0.5376,                0.81172,             0.00016187,             8.1934e-05,             8.1934e-05
                      4,                0.46264,                0.55969,                 0.8096,                0.95894,                0.91399,                0.97172,                0.75625,                0.89882,                0.54203,                0.82814,                7.3e-05,                7.3e-05,                7.3e-05
                      5,                0.44671,                0.50534,                0.80676,                0.95961,                  0.921,                0.97368,                0.64118,                  1.354,                0.58584,                0.90315,                7.3e-05,                7.3e-05,                7.3e-05
                      6,                0.42661,                0.47072,                0.80312,                 0.9682,                0.92876,                 0.9768,                0.63339,                 1.3896,                0.58846,                0.90944,                6.4e-05,                6.4e-05,                6.4e-05
                      7,                 0.4054,                0.44367,                0.80041,                0.96821,                 0.9271,                0.97899,                0.68067,                 1.2258,                0.53534,                0.87409,                5.5e-05,                5.5e-05,                5.5e-05
                      8,                0.39831,                0.42557,                0.79919,                0.97395,                0.93298,                0.97955,                0.66602,                  1.283,                0.53516,                0.88637,                4.6e-05,                4.6e-05,                4.6e-05
                      9,                0.38034,                0.41044,                0.79771,                0.97446,                0.93272,                0.97998,                0.64031,                 1.3886,                0.55869,                0.90717,                3.7e-05,                3.7e-05,                3.7e-05
                     10,                0.37438,                0.39912,                 0.7965,                0.97309,                0.93541,                0.98087,                0.64037,                 1.3899,                0.55032,                0.90846,                2.8e-05,                2.8e-05,                2.8e-05
